,Reviews,Ratings
18,"Cons.1.Three finger screen shot option not available2.default  system app lock option not available3. Double tap screen lock, screen wake up not available4.real time network speed tracker option not available5. Data usage icon not available6. Realme system theme app not available7.realme system default gallery app not available only Google photos pre-installed8. Realme file manager app not available only Google file manager installed9. Camera quality poor like VGA camera10. Low end...READ MORE",1
19,Fast delivery and excellent product I like it very good keep it upREAD MORE,5
20,Bad Things :-1. Camera quality is normal. 2. Selfie is bad3. Micro USB4. Sound system is not good Good Things:-1. Battery back up is awesome 2. Some extra features in this price3. Finger print sensor and Face lock sensor is so fast4. Screen resolution is goodOverall :-Overall this phone is good except camera quality.READ MORE,3
21,"Just an Average PhonePros:✓The phone build quality is good.✓The display is average, it's not that bright outdoors.✓Beware that the Realme OS is different,  it comes with Realme UI R, which is stock android version of realme UI, I think the chipset being not that powerful, With this OS phone can perform better.✓Camera is decent outdoors, without enough lighting it struggles like hell.Cons:× If you think of doing gaming on this device, my advice would be go for POCO M3, M2 reloaded or S...READ MORE",3
22,1) many options missing - no game mode OR game space like stuff - no stock file manager ( google files installed ) - no stock gallery ( google photos installed )Most of the stock options is replaced with Google appNEED GAME SPACENAVIGATION BAR REMAINING BLACK WHILE PLAYING BGMIAverage CAMERA QUALITYDon't buy if you like to get pictures and SelfiesBattery Good enough batteryCharge full 100% at least once when you buy GamingNo Game Space - Notification annoying while playing ...READ MORE,3
23,"Super Company but in this phone I am not having gallery and I am seeing my photos in Google photos and screenshot settings are also not nice but the phone is very sensitive so, I am giving 5 star rating and the sound quality is best and the geometrical design is just looking class, the torch is also powerful.READ MORE",4
24,"If youre buying for clicking nice photos and videos, then swiftly avoid it, the camera is not for you. Other than that, it's a fine phone, fast processing, superfast fingerprint censor and cool weight distribution and not like typical light weight phone of realme brand. Only weird thing is that I couldn't find a FILE MANAGER and GALLERY application in it. Very very weired.READ MORE",4
25,I loved this phone. I can't believe they are giving this phone at this price. I really don't understand the bad reviews.And the camera is not that bad it is ok for normal use. It is not a gaming phone so don't buy it if you are looking for that. But for normal users the phone is perfect at this range. It is awesome guys go for it. Thank you flipkart 💐💐.READ MORE,5
26,First the delivery boy is soo awesome and kind person and delivered this product 1 day earlier so I am soo happy Thank You Buddy (delivery Person).Camera is value for moneyBattery Backup is very strongDisplay is also goodDesign is good lookingTotally value for money product 👌👍👍👍READ MORE,4
27,"Mobile touch is very smooth ☺️ and battery backup is best , but front camera is not good .but beat phone in this money 💰👍👍.                                     Thank you Filpkart 👍READ MORE",4
28,"Cons.1.Three finger screen shot option not available2.default  system app lock option not available3. Double tap screen lock, screen wake up not available4.real time network speed tracker option not available5. Data usage icon not available6. Realme system theme app not available7.realme system default gallery app not available only Google photos pre-installed8. Realme file manager app not available only Google file manager installed9. Camera quality poor like VGA camera10. Low end...READ MORE",1
29,Fast delivery and excellent product I like it very good keep it upREAD MORE,5
30,Good for simple use battery life is good but charging time is more than 2.5 hour all of good product is compair to its priceREAD MORE,3
31,"Very good smartphone phone, good performance good battery backup good camera in low priceREAD MORE",5
32,GREAT PRODUCT IN BUDGET PHONE...READ MORE,5
33,I am very happy and thankful for Realme brand also flipkart ❤️❤️❤️❤️❤️👌👌👌👌.READ MORE,5
34,NiceREAD MORE,5
35,Awesome product feeling happy 😊READ MORE,4
36,Nice productREAD MORE,5
37,Recommended and bought successfully for my aunt. She loves it!READ MORE,5
38,Good phone. Some features is not given in phone.READ MORE,4
39,Usman shah nice products thank you FlipkartREAD MORE,5
40,Good for simple use battery life is good but charging time is more than 2.5 hour all of good product is compair to its priceREAD MORE,3
41,"Very good smartphone phone, good performance good battery backup good camera in low priceREAD MORE",5
42,GREAT PRODUCT IN BUDGET PHONE...READ MORE,5
43,I am very happy and thankful for Realme brand also flipkart ❤️❤️❤️❤️❤️👌👌👌👌.READ MORE,5
44,NiceREAD MORE,5
45,Awesome product feeling happy 😊READ MORE,4
46,Nice productREAD MORE,5
47,Recommended and bought successfully for my aunt. She loves it!READ MORE,5
48,Good phone. Some features is not given in phone.READ MORE,4
49,Usman shah nice products thank you FlipkartREAD MORE,5
50,A good Mobile in this Budget..Great 👍 Camera quality is Awesome and look and design is really good...Realme 9i is a best mobile ..Loving it ❤READ MORE,5
51,"Everything is good except the camera. Even 3 year old 13mp camera works better than this. If you are looking for a camera centric phone I won't suggest you this phone. Everything else is good. Decent performance better screen quality and even better battery performance real fast charging, gets almost full in half an hour. If you are going for content consumption then only you should consider this.Hope you find it useful.READ MORE",3
52,"Nice product . In comparison to its predecessor (realme 8i) , it is upgraded in fields of look, battery efficiency,speaker and fast charging . But it's processor is downgraded . So, it's not for heavy gamers . Overall phone is very nice for normal users .READ MORE",5
53,"Good camara quality,best battery performanceREAD MORE",5
54,Best Mobile under this price rangeLovely camera and best battery mobileREAD MORE,5
55,Design very good. Best Phone under price....Thanks Realme.READ MORE,5
56,"Just wowww,,,i love it's,, thank you Flipkart fr this awesome phone,,, this mobile colour just wowwREAD MORE",5
57,"Love this one ❤️❤️. wonderful phone,🥳🥰🥰🥰..full gichhaREAD MORE",5
58,GoodREAD MORE,5
59,AwesomeREAD MORE,5
60,A good Mobile in this Budget..Great 👍 Camera quality is Awesome and look and design is really good...Realme 9i is a best mobile ..Loving it ❤READ MORE,5
61,"Everything is good except the camera. Even 3 year old 13mp camera works better than this. If you are looking for a camera centric phone I won't suggest you this phone. Everything else is good. Decent performance better screen quality and even better battery performance real fast charging, gets almost full in half an hour. If you are going for content consumption then only you should consider this.Hope you find it useful.READ MORE",3
62,"Nice product . In comparison to its predecessor (realme 8i) , it is upgraded in fields of look, battery efficiency,speaker and fast charging . But it's processor is downgraded . So, it's not for heavy gamers . Overall phone is very nice for normal users .READ MORE",5
63,"Good camara quality,best battery performanceREAD MORE",5
64,Best Mobile under this price rangeLovely camera and best battery mobileREAD MORE,5
65,Design very good. Best Phone under price....Thanks Realme.READ MORE,5
66,"Just wowww,,,i love it's,, thank you Flipkart fr this awesome phone,,, this mobile colour just wowwREAD MORE",5
67,"Love this one ❤️❤️. wonderful phone,🥳🥰🥰🥰..full gichhaREAD MORE",5
68,GoodREAD MORE,5
69,AwesomeREAD MORE,5
70,It's.  Awesome 👍 ...and value for money 🤑 .. and it's design is awesome ☺️ ❣️ it's totally satisfied ❣️🤞READ MORE,5
71,Wow very nice look. superb mobile phone 🔥🔥🔥🔥🔥⭐⭐⭐ very goodREAD MORE,5
72,I can say you this phone is very good after using 6 days i m writing review for the this phone this phone is camera quality is very good and over all processe in phone best you must go for this phoneREAD MORE,5
73,"This is really good phone. Here are few things Camera : instead of giving 50mp+2mp+2mp they could have given 48mp+5mp. Even though 50mp is not bad. In this price range you can't expect more but whatever you're getting is good. Screen : One thing they should have gone with 120hz display, 90hz but why? In 8i they've provided 120hz display. Seems like it is a differentiating factor between 8i and 9i along with processor.Processor : SD695 is one of the best processor one can get in this pri...READ MORE",5
74,"Awesome, good quality, fantasticREAD MORE",3
75,Excellent mobile 📲👌👌READ MORE,4
76,Good 😊READ MORE,5
77,Finishings are very excited and gratefulLoved the productREAD MORE,5
78,It was osm and very nice response..Just loved it!!!READ MORE,5
79,Nice product phREAD MORE,5
80,"This is best budget phone.... Poco C31, and order this product because I have Poco M2 Reloaded, i was gift this phone to my sister on her birthday, she loved it Thanks Flipkart for fast delivery Thanks Poco TeamREAD MORE",4
81,Pros : 1. Colour and design.2. Big display at low price.3. Camera as expected at this price range.4. Battery is good. Lasting almost 1.5 days.Cons : 1. Working slow.2. Ram management is not upto the mark.3. Camera is not good comparison to Redmi and Realme. Redmi and realme click far better than this mobile at this price.4. Not for gaming.5. Missing back cover in the package. At this price other companies provides back covers.READ MORE,3
82,The best budget phone. Camera clarity is good. Value for money.  Right size phone with light weight. Over all good phone with budget price.READ MORE,5
83,"Outstanding phone at a very outstanding price....it's performance, battery,camera is very good it has nice interface and anyone can easily use it...i didn't expected this product to be this good..but it's on the next level...I am very happy that I bought it..READ MORE",5
84,Camera quality is goodREAD MORE,5
85,Vary good product POCO C31GoodREAD MORE,5
86,Nice products👍 thanks FilipcardREAD MORE,5
87,SuperbREAD MORE,5
88,Not badREAD MORE,4
89,Osm productREAD MORE,4
90,"Cheapest 5G phone anyone can afford till date with stunning looks. Must go for Cool blue design. Very smooth operation, no UI lag. The best thing is that the phone never gets overheated. The phone comes with a screen protector attached inside the box which is a very nice thing that you don't have to hurry to the market to buy one.Many are complaining about the camera, but at this price point, the camera can't be better. But I think it can be done better by software updates in future.Posting...READ MORE",4
91,Good mobile phone good fast and very good battery backupREAD MORE,4
92,I got soo many things to say but i don't know from where I start talking.The camera quality is decent in this price range.The smartphone performance is pretty good too with good battery life.Ideal phone for playing games no lagging.Soo i would definitely recommend you to buy this phone if you are looking for good connectivity and performance smartphone in this price range.Soo Don't hold back! 👍🤗READ MORE,5
93,Performance is good but i don't like the camera quality. Selfie is totally bad. Not recommend who  want to buy for camera .Poco m2 pro camera is better than this one.READ MORE,2
94,"Best device in this Price, value for money ❤The camera quality is not much wrost as we heard before although it is good in this price, and there is no wide angle camera But as we talk about the front one, it is not so good here we found 8mp camera and it's quality is poor which can't satisfied the people who love selfiePerformance is very good as expectedBattery backup is also good but there is no fast charging system in this device Here we found 90hz smooth display which is good enough. ...READ MORE",4
95,It is a good budget 5G phone. I loved it. Good performance is giving out from dimensity 700🔥🔥.The mediatek dimensity 700 give a performance equalent to Snapdragon 732G in gaming. Almost the two processor Antu Antu score is almost equal.But one of disadvantages of mediatek is game optimization is less compared to Snapdragon. In future the app developer of games will fix this issue. My complete review is down here👇1.👉 Good performance at this price range2. 👉Good battery backup it last...READ MORE,5
96,If you are going to buy for game and office work this is good but if you want to by for selfie then do nit by this phon i am using from last 4 days camera is very bad battery is good display is good processing speed is also very good do not buy for good cameraREAD MORE,4
97,Outstanding performance and its features. No camparison with any other mobile in this price range. Best thing its future ready device yes 5G technology. So far too happy with devices thanks to poco and its developer's team. You made a such nice and clean UIREAD MORE,5
98,"Good budget 5g phone in this price segment.1.Performance is very good and smooth due to its processor Dimensity 700U (7nm).2.Camera it's not good as expected.3.Battery back up and charging speed are excellent.4.Display is very good, cinematic experience.READ MORE",4
99,"Back Camera does its job pretty well 🥰Battery back up GOOD 🙂Front cam is not upto the expectations 😔And i dont have Duals apps ,Document scan and second space features please someone help me with that 🙏READ MORE",1
100,"Good handy phone with decent performance. Good for the first time smartphone users. battery backup is pro level, network availability is good,not that heavy. i prefer this to c11 as it has CGG protection.READ MORE",4
101,This is such a budget friendly product.It also makes a good first impression as the overall look of the device is really impressive.The device also provides a decent display and camera with a storage space of 32 GB.READ MORE,5
102,Good product in perfect value of money. I thought the charger is c-type. But actually it is not. All features are new and sufficient with the low budget phone.READ MORE,4
103,"Let me get straight to the point.From day 1 this phone hangs.multitasking performance is very bad.. sometimes wifi gets disconnected automatically..apps like whatsapp take 15 seconds to open.and flipkart 20-25 seconds.In the time of usb type c,we are getting micro usb.charging takes a long time..and 2 gb ram is not sufficient to run apps..phone is good for just to make calls..and do light works.not meant for multi tasking.READ MORE",1
104,Cammera is very good and battery is goodPhone is better very good product I love ❤️ this productREAD MORE,5
105,"Very bad performance it does have single pros all are cons. I am briefly explaining all of them.1. Software Ui is very laggy and keeps freezing very shortly mostly when pressing back button.2. Device can not handle day to day apps, games are not possible to play without laggs.3.  Even 2 or 3 apps can not be hold in background. How its a smartphone in that case. Its working like feature phone of old days.4. Not suitable if you are  going to use it for study not able to handle pdf and othe...READ MORE",1
106,I HV gifted to my frnd as her bday gift....Seriously when she used this mobile she's got excited and feeling like happy....Think u Fcart for the OSM 😘 mobile in very low budget ......Thank u againREAD MORE,5
107,"The performance of this c20 is not as expected...apps opening late, something always buffering...2gb ram performance is very less... lagging....not best as what I got previously c3....this time not that much to appreciate realme...cost wise good...for performance pls go for 3 or 4 GB ram...phone getting hangedREAD MORE",2
108,1. Camera is very good according to the price range.2. G35 processor plays a good role.3. Smoothness of the scren is very nice.4. Battery backup is powerful.5. Overall performance is splendid in this price range.READ MORE,4
109,"Mobile was really great. If you are buying for your grand parents it will be a best option for them to upgrade from feature phone. But don't expect much from this phone as it was a basic model it can perform good but not excellent. Considering the price it was best in the market , and I do have a redmi 8a duel but the touch on the mobile was not that smooth and laggy and sometimes it doesn't work either considering all these issues realme c20 was best in the market for the price pointREAD MORE",5
110,"Good handy phone with decent performance. Good for the first time smartphone users. battery backup is pro level, network availability is good,not that heavy. i prefer this to c11 as it has CGG protection.READ MORE",4
111,This is such a budget friendly product.It also makes a good first impression as the overall look of the device is really impressive.The device also provides a decent display and camera with a storage space of 32 GB.READ MORE,5
112,Good product in perfect value of money. I thought the charger is c-type. But actually it is not. All features are new and sufficient with the low budget phone.READ MORE,4
113,"Let me get straight to the point.From day 1 this phone hangs.multitasking performance is very bad.. sometimes wifi gets disconnected automatically..apps like whatsapp take 15 seconds to open.and flipkart 20-25 seconds.In the time of usb type c,we are getting micro usb.charging takes a long time..and 2 gb ram is not sufficient to run apps..phone is good for just to make calls..and do light works.not meant for multi tasking.READ MORE",1
114,Cammera is very good and battery is goodPhone is better very good product I love ❤️ this productREAD MORE,5
115,"Very bad performance it does have single pros all are cons. I am briefly explaining all of them.1. Software Ui is very laggy and keeps freezing very shortly mostly when pressing back button.2. Device can not handle day to day apps, games are not possible to play without laggs.3.  Even 2 or 3 apps can not be hold in background. How its a smartphone in that case. Its working like feature phone of old days.4. Not suitable if you are  going to use it for study not able to handle pdf and othe...READ MORE",1
116,I HV gifted to my frnd as her bday gift....Seriously when she used this mobile she's got excited and feeling like happy....Think u Fcart for the OSM 😘 mobile in very low budget ......Thank u againREAD MORE,5
117,"The performance of this c20 is not as expected...apps opening late, something always buffering...2gb ram performance is very less... lagging....not best as what I got previously c3....this time not that much to appreciate realme...cost wise good...for performance pls go for 3 or 4 GB ram...phone getting hangedREAD MORE",2
118,1. Camera is very good according to the price range.2. G35 processor plays a good role.3. Smoothness of the scren is very nice.4. Battery backup is powerful.5. Overall performance is splendid in this price range.READ MORE,4
119,"Mobile was really great. If you are buying for your grand parents it will be a best option for them to upgrade from feature phone. But don't expect much from this phone as it was a basic model it can perform good but not excellent. Considering the price it was best in the market , and I do have a redmi 8a duel but the touch on the mobile was not that smooth and laggy and sometimes it doesn't work either considering all these issues realme c20 was best in the market for the price pointREAD MORE",5
120,"Thanks again Flipkart team the wonderful delivery on time. Kind delivery boy. This product purchased for my Mom 😍 and she is very happy gifted to mom on her birthday 🎉 She is so happy! Amazing product from realme a. Awesome built qualityb. Best Battery 🔋 little bit heavy but, it's fine to handle afterall it has 6000 mh battery 🔋c. Camera is good 🤳 front and back both. It will be better maybe after some updates.d. Display is also good Thanks again!READ MORE",4
121,Very nice mobile and battry is very extra powar and camera is nice this price rangeAnd delivery boy is very honest  ..... Delivery boy rating is 5/5READ MORE,5
122,Camera 4/5 if u able to set it properly Battery 5/5 very Good with great charging speed.Display 4/5 its not full hd but HD + with very good brightness and contrastPerformance is too good 5/5Value for MoneySelfie and back camera capture are given below in low light photography in night time....Total 4.5 out of 5 in my vision Hope for bestREAD MORE,5
123,Excellent!!Very good mobile. I ordered it to my friend and he is very happy with it. Camera quality is good and battery backup is superb. Oxygen blue colour looks very attractive and rich. Highly recommended guys. Go for it.....READ MORE,5
124,Positive sides :1. Battery is very very powerful. Certainly exceeds your expectations.2. performance wise this phone is a very good purchase . smoothly functioning ..no lag..no heating issue.3. Day light pic quality is above average. Selfie camera good.4. There is dedicated slot for memory card apart from slots for 2 sim cards.Negative sides :1. Both rear and front camera in low light disappointing.2. Display could have been Full HD+ instead of HD+. Realme has disappointed its custome...READ MORE,4
125,"overall good product, mobile colour is good i liked it, camera back is good front is perfect, online buying is good beneficial for me.I recommend to all that buy online fon its better , always available in color and design. Backup also nice, i ordered and received before time same product nothing damage so i am happy for this. Thanks flipkartREAD MORE",5
126,"Best phone of this best valuable price..I think front camera is not enough in this price...Back camera very very good... My rating is __-Camera-:front-5,back-9,,Battery--:10Performance-:8Storage-:8Colour-:9Processor g85-::::8VALUE of MONEY-;10READ MORE",5
127,Best phone superb design and colour and performance is so good . Value for money i like it.READ MORE,5
128,I have used this phone continuously last 7 days from delivery Over all ok But delivery is soo late am disappointed it's take two weeks more time Battery performance is. Awesome But charging time is more than 2 and half hours to full slightly disappointed Back camera 50 mp is awesome night scape photos is good Selfie camera performance is average It has G85 processor is best performanceOver all phone is worth for money go for itREAD MORE,5
129,I bought it as a secondary device but was surprised by the camera quality at daylight (low light pics though are bit disappointing)Battery backup is quite good with 2 days of back up with normal usage.Display is also good for the price which one is paying.No lags whatsoever though I haven't tried any high graphics games on this one.Finger print sensor too is very responsive but is slightly misplaced on the back panel(should have been at the centre).Over all a good budget phone(a complete...READ MORE,4
130,"Thanks again Flipkart team the wonderful delivery on time. Kind delivery boy. This product purchased for my Mom 😍 and she is very happy gifted to mom on her birthday 🎉 She is so happy! Amazing product from realme a. Awesome built qualityb. Best Battery 🔋 little bit heavy but, it's fine to handle afterall it has 6000 mh battery 🔋c. Camera is good 🤳 front and back both. It will be better maybe after some updates.d. Display is also good Thanks again!READ MORE",4
131,Very nice mobile and battry is very extra powar and camera is nice this price rangeAnd delivery boy is very honest  ..... Delivery boy rating is 5/5READ MORE,5
132,Camera 4/5 if u able to set it properly Battery 5/5 very Good with great charging speed.Display 4/5 its not full hd but HD + with very good brightness and contrastPerformance is too good 5/5Value for MoneySelfie and back camera capture are given below in low light photography in night time....Total 4.5 out of 5 in my vision Hope for bestREAD MORE,5
133,Excellent!!Very good mobile. I ordered it to my friend and he is very happy with it. Camera quality is good and battery backup is superb. Oxygen blue colour looks very attractive and rich. Highly recommended guys. Go for it.....READ MORE,5
134,Positive sides :1. Battery is very very powerful. Certainly exceeds your expectations.2. performance wise this phone is a very good purchase . smoothly functioning ..no lag..no heating issue.3. Day light pic quality is above average. Selfie camera good.4. There is dedicated slot for memory card apart from slots for 2 sim cards.Negative sides :1. Both rear and front camera in low light disappointing.2. Display could have been Full HD+ instead of HD+. Realme has disappointed its custome...READ MORE,4
135,"overall good product, mobile colour is good i liked it, camera back is good front is perfect, online buying is good beneficial for me.I recommend to all that buy online fon its better , always available in color and design. Backup also nice, i ordered and received before time same product nothing damage so i am happy for this. Thanks flipkartREAD MORE",5
136,"Best phone of this best valuable price..I think front camera is not enough in this price...Back camera very very good... My rating is __-Camera-:front-5,back-9,,Battery--:10Performance-:8Storage-:8Colour-:9Processor g85-::::8VALUE of MONEY-;10READ MORE",5
137,Best phone superb design and colour and performance is so good . Value for money i like it.READ MORE,5
138,I have used this phone continuously last 7 days from delivery Over all ok But delivery is soo late am disappointed it's take two weeks more time Battery performance is. Awesome But charging time is more than 2 and half hours to full slightly disappointed Back camera 50 mp is awesome night scape photos is good Selfie camera performance is average It has G85 processor is best performanceOver all phone is worth for money go for itREAD MORE,5
139,I bought it as a secondary device but was surprised by the camera quality at daylight (low light pics though are bit disappointing)Battery backup is quite good with 2 days of back up with normal usage.Display is also good for the price which one is paying.No lags whatsoever though I haven't tried any high graphics games on this one.Finger print sensor too is very responsive but is slightly misplaced on the back panel(should have been at the centre).Over all a good budget phone(a complete...READ MORE,4
140,It's.  Awesome 👍 ...and value for money 🤑 .. and it's design is awesome ☺️ ❣️ it's totally satisfied ❣️🤞READ MORE,5
141,Wow very nice look. superb mobile phone 🔥🔥🔥🔥🔥⭐⭐⭐ very goodREAD MORE,5
142,I can say you this phone is very good after using 6 days i m writing review for the this phone this phone is camera quality is very good and over all processe in phone best you must go for this phoneREAD MORE,5
143,"This is really good phone. Here are few things Camera : instead of giving 50mp+2mp+2mp they could have given 48mp+5mp. Even though 50mp is not bad. In this price range you can't expect more but whatever you're getting is good. Screen : One thing they should have gone with 120hz display, 90hz but why? In 8i they've provided 120hz display. Seems like it is a differentiating factor between 8i and 9i along with processor.Processor : SD695 is one of the best processor one can get in this pri...READ MORE",5
144,"Awesome, good quality, fantasticREAD MORE",3
145,Excellent mobile 📲👌👌READ MORE,4
146,Good 😊READ MORE,5
147,Finishings are very excited and gratefulLoved the productREAD MORE,5
148,It was osm and very nice response..Just loved it!!!READ MORE,5
149,Nice product phREAD MORE,5
150,Nice look of phoneREAD MORE,5
151,Good productREAD MORE,3
152,goodREAD MORE,5
153,Nyc photo sREAD MORE,5
154,"Mind Blowing Performance,  Nice Phone Cheap RatedREAD MORE",5
155,Super nice product in this priceREAD MORE,5
156,Nice mobail good working low price good oneREAD MORE,4
157,This price best phone 👌🏻READ MORE,5
158,Nice phone i accepted this redmi 9i mobile thaks fr flipkart gd mobileREAD MORE,4
159,Just GoodREAD MORE,4
160,Nice look of phoneREAD MORE,5
161,Good productREAD MORE,3
162,goodREAD MORE,5
163,Nyc photo sREAD MORE,5
164,"Mind Blowing Performance,  Nice Phone Cheap RatedREAD MORE",5
165,Super nice product in this priceREAD MORE,5
166,Nice mobail good working low price good oneREAD MORE,4
167,This price best phone 👌🏻READ MORE,5
168,Nice phone i accepted this redmi 9i mobile thaks fr flipkart gd mobileREAD MORE,4
169,Just GoodREAD MORE,4
170,Best Samsung phone in this price range.Good battery back up.Decent Display.Fast fingerprint sensor.Rear camera quality is good.front camera is not up to the mark.90 Hz refresh rate is good.Good user interface.updated to one ui 3.1.there are some pre installed apps which can only be disabled.sound quality is low comparing with other smartphones in same price segment.using in low screen bightness noticed screen flickering.There is no screen protector or case in the box.Takes 160 minutes for ful...READ MORE,4
171,"Amazing smartphone. Camera , battery back up , display  , are awesome 👌. It has a little bit heating problem but not at all .Amazing smartphone for students becoz I'm using as a student .😊😊.It is heavy also , this is a bad point for this smartphone. But all good . ND I'm satisfied .Delivery was also good 👍. Thanks flipkart. 😊READ MORE",4
172,This smartphone is very good in camera and battery And value for money from Samsung with clean and smooth Ui and good battery life alsoREAD MORE,5
173,First I would like to thank you Flipkart for fastest delivery and yah the delivery guy is so cooperative and helpful Samsung phones are always best in performance and this one is also affordable and awesome phoneREAD MORE,4
174,"Nice phone. We can rely on Samsung than any Chinese company like MI, Redmi, Poco, Realme, Vivo, Oppo etc.Little heavy and thick than others but best in this price range. Rear and front cameras are superb. Not has SAmoled display and you can't expect it in this price.6000 mah battery is just wow. Power packed phone.But the Charger is of 9V and there is mentioned that it is of 15V.It did justice with its price. Value for money and trust of Samsung.If you are willing for it, Go ahead 👍READ MORE",4
175,"Pros:-Battery backup is simply awesome. I got 8+ hours SOTPerformance is way better than Xiaomi and realme at this range. Bloatware free and no junk apps. Previously i was a Motorola User so i miss Moto tweaks, thats all. This gap is fulfilled by Samsung one UI. lots and lots of customisation.Samsung brand is trust. Phone is Durable and service centre are very helpfulThis is myth exynos are not good. Trust me, in real life in doesnt matter until and unless you do heavy gaming at very high...READ MORE",5
176,"Best mobile for in this price range, Battery backup is highlight. Better go with this mobile in budget category from best brand. Absolutely perfect mobile.READ MORE",5
177,"Camera is good battery is good  fingure unlock sensor is very good and fast it is very thick due to large battery this phone is not for slim phone lovers but phone is very good and price are also good , good job samsungREAD MORE",5
178,Overall it is good value of money. Everything perfect except taking about 3 and half hour to take full battery charge which is painful. Samsung should work on it.READ MORE,5
179,"According to this budget , this phone is fabulous.As in this budget we are getting 4 GB RAM and 128 GB internal memory which is quite good combination where other phones are giving 64 GB as their internal storage. Not only this we are getting also Exynos 850 processor which is a very good power efficient processor and 90Hz refresh rate which makes the phone very fast. And the camera quality is really good, its focus technology is really great. And SAMSUNG is really a very good brand as well ...READ MORE",5
